학번,학생이름,전화번호,주소,학년,학과,학과명,교과교수
S0001,갈한수,010-3600-6924,경남 김해시 어방동 1088-7,3,008,미술학,필리스
S0002,강이찬,010-5117-9448,강원도 속초시 대포동 956-5,1,006,영어영문,권오순
S0003,개원훈,010-5210-8751,경북 영천시 문외동 38-3번,1,009,고전음악학,파파로티
S0004,경시현,010-8258-9658,서울시 구로구 구로동 3-35번지,1,006,영어영문,권오순
S0005,공동영,010-1928-9020,강원도 동해시 천곡동 1077-3,2,010,정보통신공학,최양록
S0006,기대연,010-2546-7376,대구 수성구 수성3가 322-1번지,2,002,전자공학,이철기
S0007,기원호,010-9457-6680,울산시 울주군 서생면 간절곶해안길 205,3,005,국어국문,백석기
S0008,기은성,010-1414-5593,거제시 장승포동 702-4,2,008,미술학,필리스
S0009,나한율,010-4579-8473,경기도 이천시 창전동 166-13번지,2,009,고전음악학,파파로티
S0010,남동예,010-3716-3225,경남 밀양시 내일동 649-7,4,009,고전음악학,파파로티
S0011,낭시우,010-5104-9815,경기도 파주시 문산읍 문산리 61-35번지,3,001,컴퓨터공학,토발즈
S0012,내세원,010-9719-0291,충북 증평군 증평읍 창동리 65번지,2,001,컴퓨터공학,토발즈
S0013,뇌성수,010-9243-6208,제주시 연동 1482번지,2,005,국어국문,백석기
S0014,단수혁,010-8510-5327,울산시 남구 옥동 143-12,1,004,관광학,이한우
S0015,담성민,010-7443-8372,강원도 속초시 중앙로 150-1,1,009,고전음악학,파파로티
S0016,담원준,010-7812-6910,전남 나주시 대호동 1029-2,4,009,고전음악학,파파로티
S0017,담장호,010-7683-6887,경북 구미시 옥계동 840번지,1,008,미술학,필리스
S0018,독고예준,010-4142-9998,경기도 이천시 신둔면 용면리 120번지,3,010,정보통신공학,최양록
S0019,돈송혁,010-2798-3594,충북 충주시 가금면 용전리 92번지,4,002,전자공학,이철기
S0020,돈재현,010-6470-3394,제주특별자치도 서귀포시 대정읍 상모리 133-8 번지,2,006,영어영문,권오순
S0021,두동환,010-1266-6348,경기도 파주시 금촌동 987-6번지,1,009,고전음악학,파파로티
S0022,두채훈,010-4289-5179,제주특별자치도 서귀포시 대정읍 상모리 133 번지,2,001,컴퓨터공학,토발즈
S0023,명윤일,010-3877-1321,서울시 강서구 화곡동 1006-9,2,010,정보통신공학,최양록
S0024,모재원,010-3935-3151,서울시 강서구 가양동 1479-9,2,006,영어영문,권오순
S0025,문은진,010-9226-2539,인천시 서구 검암동 606-7,4,010,정보통신공학,최양록
S0026,박수혁,010-8370-2648,경기도 화성시 능동 445-2,2,004,관광학,이한우
S0027,방윤후,010-1406-2861,경기도 고양시 일산동구 장항동 86,4,001,컴퓨터공학,토발즈
S0028,방채호,010-3133-4463,서울시 관악구 신림동 1640-3,4,006,영어영문,권오순
S0029,배세준,010-1066-9337,경기도 양평군 양평읍 양근리 201-15,2,010,정보통신공학,최양록
S0030,배채호,010-5903-9422,대구시 동구 율하동 1223,2,002,전자공학,이철기
S0031,변재호,010-3677-2983,전북 부안군 변산면 격포리 290-1,3,006,영어영문,권오순
S0032,복재민,010-2155-1930,강원도 원주시 행구동 1847-3,2,001,컴퓨터공학,토발즈
S0033,복준완,010-5259-5482,충남 아산시 배방읍 복수리 1019,2,002,전자공학,이철기
S0034,비현호,010-7511-6303,울산시 동구 서부동 113-48,2,010,정보통신공학,최양록
S0035,빈성희,010-2491-2990,경기도 화성시 봉담읍 동화리 113-1번지,3,002,전자공학,이철기
S0036,사성준,010-3020-0848,경남 창원시 대방동 자양로 136,4,001,컴퓨터공학,토발즈
S0037,사원혁,010-7839-3624,서울시 도봉구 쌍문동 45-8,1,003,법학,킹스필드
S0038,사원호,010-7889-5421,경남 창원시 진해구 이동 464-2번지,2,002,전자공학,이철기
S0039,삼윤후,010-4132-7421,인천시 연수구 동춘동 926번지,3,010,정보통신공학,최양록
S0040,삼찬후,010-6946-0820,경북 경주시 성건동 684-9번지,2,007,무역학,심하군
S0041,석서훈,010-2399-6769,전남 구례군 산동면 좌사리 110-1,2,002,전자공학,이철기
S0042,성성율,010-3264-5863,서울시 강북구 미아동 838-4번지,3,001,컴퓨터공학,토발즈
S0043,소대권,010-3802-6277,경기도 성남시 분당구 삼평동 741,2,003,법학,킹스필드
S0044,소윤수,010-2567-1041,경남 김해시 장유면 관동리 1101-1번지,2,001,컴퓨터공학,토발즈
S0045,순대영,010-1078-8912,경기도 과천시 막계동 33,2,005,국어국문,백석기
S0046,신찬영,010-1412-8690,충남 아산시 배방읍 장래리 1760 ,4,010,정보통신공학,최양록
